77,570,Kepler-77b,136.66,10.761,1440,3.57878087,0.04501
88,339,Kepler-88b,8.7,3.78,758,10.95416,0.098
88,339,Kepler-88c,198.8,—,—,22.3395,0.15525
90,780,Kepler-90b,—,1.31,1061,7.008151,0.074
90,780,Kepler-90c,—,1.19,986,8.719375,0.089
90,780,Kepler-90d,—,2.87,519,59.73667,0.32
90,780,Kepler-90e,—,2.66,450,91.93913,0.42
90,780,Kepler-90f,—,2.88,—,124.9144,0.48
90,780,Kepler-90g,—,8.1,341,210.60697,0.71
90,780,Kepler-90h,—,11.3,293,331.60059,1.01
91,1030,Kepler-91b,257.44,15.323,2040,6.24658,0.0731
117,1430,Kepler-117b,29.88,8.059,984,18.7959228,0.1445
117,1430,Kepler-117c,584.78,12.341,704,50.790391,0.2804
167,330,Kepler-167b,—,1.615,914,4.3931632,0.0483
167,330,Kepler-167c,—,1.548,768,7.406114,0.0684
167,330,Kepler-167d,—,1.194,536,21.803855,0.1405
167,330,Kepler-167e,—,10.15,131,1071.23228,1.89
186,172,Kepler-186b,—,1.07,578,3.8867907,0.0343
186,172,Kepler-186c,—,1.25,469,7.267302,0.0451
186,172,Kepler-186d,—,1.4,383,13.342996,0.0781
186,172,Kepler-186e,—,1.27,322,22.407704,0.11
186,172,Kepler-186f,—,1.17,179,129.9441,0.432
289,700,Kepler-289b,7.3,2.15,750,34.545,0.21
289,700,Kepler-289c,132,11.59,487,125.8518,0.51
289,700,Kepler-289d,4,2.68,—,66.0634,0.33
296,226,Kepler-296b,—,1.61,358,10.864384,0.079
296,226,Kepler-296c,—,2,440,5.8416366,0.0521
296,226,Kepler-296d,—,2.09,293,19.850291,0.118
296,226,Kepler-296e,—,1.53,244,34.14211,0.169
296,226,Kepler-296f,—,1.8,199,63.33627,0.255
410,132,Kepler-410Ab,—,2.838,859,17.833648,0.1226
412,1056,Kepler-412b,299.08,15.031,1850,1.7208604,0.02897
420,900,Kepler-420b,460.83,10.54,511,86.647661,0.382
421,320,Kepler-421b,—,4.16,185,704.1984,1.219
423,725,Kepler-423b,189.1,13.361,1605,2.6843285,0.03585
425,650,Kepler-425b,79.45,10.962,1070,3.79701816,0.0464
426,880,Kepler-426b,108.06,12.22,1300,3.21751883,0.0414
427,1100,Kepler-427b,92.17,13.79,1100,10.290994,0.091
428,720,Kepler-428b,403.63,12.11,1070,3.52563254,0.0433
432,870,Kepler-432b,1719.46,12.834,816,52.501129,0.301
432,870,Kepler-432c,>772.33,—,—,406.2,—
433,1870,Kepler-433b,896.24,16.25,1776,5.33408384,0.0679
